Station,Lat,Lon,Met_Station,GPS_Height,Met_Height,Distance,Region_Code,Combination,Combinations,GPS_Data_Span,Met_Span_Acceptable,Reason,End Result,
JAB1,-12.6588,132.8939,_20432_WMO_94137_,27.7859,26,1.1238,5,,,1998 to 2008,yes,inadequate data span (1998 to 2004),"This is the longest time series we can get, will keep it because at least it is ongoing.",
JAB1,-12.6588,132.8939,_22323_WMO_94138_,27.7859,7,40.0501,5,,,1998 to 2008,NO,inadequate data span (1998 to 2004),,
JPLM,34.2048,241.8268,_19121_WMO_72295_,457.7482,38,36.7866,4,,,,yes,adequate data span (1997 - 2013),,
KARR,-20.9814,117.0972,_21760_WMO_94309_,116.7214,12,22.7649,5,,,1997 to present,yes,,,
KELO,55.5956,357.5599,_268_WMO_03158_,41.2994,112,13.0716,8,,kels kelo,104 2010 to present,yes,,,
KELS,55.5956,357.5599,_268_WMO_03158_,41.2664,112,13.0715,8,,kels kelo,2006 to 2010,yes,,,
KELY,66.9874,309.0552,_19031_WMO_04231_,198.314,53,6.4562,6,,,1997 to present,yes,,,
KERG,-49.3515,70.2555,_17699_WMO_61998_,32.9785,30,0.4325,1,,,1997 to present,yes,,,
KEYW,52.879,358.9219,_556_WMO_03354_,74.1039,117,18.1749,8,,,2007 to present,yes,,,
KGNI,35.7103,139.4881,_18153_WMO_47662_,85.7704,36,25.3984,2,,,2002 to present,yes,,,
KHAJ,48.5215,135.0462,_17056_WMO_31735_,109.3672,76,8.8588,2,,,2002 to present,yes,,,
KILI,56.4549,355.6793,_30810_DCNN_1455_,177.9312,100,30.5639,6,yes,kili kiln,2005 to 2008,NO,No data,,
KILI,56.4549,355.6793,_212_WMO_03144_,177.9302,35,39.2673,8,yes,kili kiln,2005 to 2008,yes,,,
KILN,56.4549,355.6793,_30810_DCNN_1455_,177.9572,100,30.5639,6,yes,kili kiln,2009 to present,NO,No data,,
KILN,56.4549,355.6793,_212_WMO_03144_,177.9551,35,39.2674,8,yes,kili kiln,2009 to present,yes,,,
KING,52.7514,0.4015,_409_WMO_03482_,20.5128,21,15.8325,8,,,2000 to present,yes,,,
KINL,58.4588,354.9477,_44_WMO_03044_,9.9517,81,40.4346,8,,,2007 to present,yes,,,
KINT,57.2454,357.6713,_161_WMO_03091_,90.4527,65,8.7681,8,,,2010 to present,yes,,,
KIRK,54.8396,355.9526,_1033_WMO_03153_,12.7614,113,4.8117,8,,,2006 to present,yes,,,
KIRU,67.8574,20.9684,_19026_WMO_02044_,361.965,452,27.064,6,,,1997 to present,yes,"adequate data span, large data gap from 2003 to 2008","station selected has a data span of 1998 - present, however there is nothing else suitable.",
KIRU,67.8574,20.9684,_23954_WMO_02045_,361.965,408,22.6438,6,,,1997 to present,NO,inadequate data span (1997 to 1999),,
KIRU,67.8574,20.9684,_23956_WMO_02049_,361.965,359,79.9122,6,,,,,,,
KIRW,58.9534,357.0985,_23_WMO_03017_,27.34,26,0.1071,8,,,2007 to present,yes,,,
KIT3,39.1348,66.8854,_21807_WMO_38696_,659.2124,724,48.4423,2,,,1997 to present,yes,,,
KLKN,52.6659,352.7376,_56370_WMO_03956_,77.7577,53,65.81,8,,,,,,,
KLRE,54.9649,353.382,_1448_WMO_03915_,91.1691,64,15.1481,8,,,2004 to present,yes,,,
KOKB,22.1263,200.3351,_17922_WMO_91165_,1152.6477,32,37.7827,5,,,1997 to present,yes,"adequate data span, data gap (1998)",,
KOKB,22.1263,200.3351,_18822_WMO_91190_,1152.6477,20,361.5128,5,,,,,,,
KOSG,52.1784,5.8096,_24260_WMO_06275_,53.4497,48,13.3807,6,,,1997 to present,NO,"adequate data span,large data gap (2003 to 2006)",,
KOSG,52.1784,5.8096,_24339_WMO_06269_,53.4497,-4,35.619,6,,,1997 to present,yes,,,
KOUC,-20.5587,164.2873,_17933_WMO_91577_,24.0979,18,1.0294,5,,,1997 to present,yes,,,
KOUR,5.2522,307.194,_17894_WMO_81405_,8.4013,9,67.4387,3,,,,,,,
KUNM,25.0295,102.7972,_23046_WMO_56786_,2019.1359,1900,121.1019,2,,,,,,,
KWJ1,8.7222,167.7302,_17928_WMO_91366_,8.9402,8,1.2394,5,,,1997 to 2002,yes,,,
LAE1,-6.6737,146.9932,_24207_WMO_92047_,69.1327,70,31.1308,5,,,2000 to present,yes,,,
LCAR,57.4203,354.5359,_19172_WMO_03037_,16.4638,18,27.3369,8,,,2008 to present,yes,,,
LEED,53.8002,358.3362,_513_WMO_03344_,165.5227,262,13.3005,8,,,2000 to present,yes,,,
LEEK,53.1278,358.0187,_30690_WMO_03330_,301.9159,298,0.0962,8,,,2004 to present,yes,,,
LERI,60.1383,358.8163,_9_WMO_03005_,82.4549,82,0.1322,8,,,2009 to present yes,yes,,,
LERW,60.1391,358.8151,_9_WMO_03005_,81.6526,82,0.1135,8,,,1998 to 2010,yes,,,
LHAS,29.6573,91.104,_22930_WMO_55472_,3659.3244,4671,277.704,2,,,,,,,
LHAZ,29.6573,91.104,_22930_WMO_55472_,3659.2696,4671,277.7074,2,,,,,,,
LICF,52.71,358.1863,_19187_WMO_03535_,79.2248,96,26.9798,8,yes,lich licf,2009 to present yes,yes,,,
LICH,52.71,358.1863,_19187_WMO_03535_,79.2071,96,26.9797,8,yes,lich licf,2004 to 2008,yes,,,
LINC,53.2503,359.4799,_381_WMO_03373_,56.3948,57,6.5141,8,yes,linc lino,2004 to 2008,yes,,,
LINO,53.2503,359.4799,_381_WMO_03373_,56.4118,57,6.514,8,yes,linc lino,2009 to present,yes,,,
LIVE,53.4497,356.9818,_17309_WMO_03316_,13.4837,9,5.8407,8,,Special Stations Cluster,,,,,
LIZ1,49.9601,354.797,_1393_WMO_03809_,71.1906,76,14.289,8,yes,liz1 liza lizr,2000 to 2005,yes,,,
LIZA,49.9692,354.8123,_1393_WMO_03809_,47.3384,76,13.6639,8,yes,liz1 liza lizr,2007 to 2008,yes,,,
LIZR,49.9692,354.8123,_1393_WMO_03809_,47.3678,76,13.664,8,yes,liz1 liza lizr,2009 to present,yes,,,
LMRK,52.674,351.4243,_17091_WMO_03955_,25.3054,153,91.9802,6,,,,,,,
LOCG,56.0135,354.5539,_964_WMO_03138_,16.5319,5,41.0849,8,,,2005 to present,NO,inadequate data span (2005 to 2007),,
LOFT,54.5629,359.1366,_17344_WMO_03275_,161.3494,158,0.103,8,,,2005 to present,yes,,,
LOWE,52.4732,1.7502,_429_WMO_03495_,9.1973,17,41.396,8,,,1999 to present,NO,inadequate data span (1999 to 2006),,
LPGS,-34.9067,302.0677,_18742_WMO_86560_,13.9734,22,51.6578,3,,,1998 to present,NO,Too far away,,
LPGS,-34.9067,302.0677,_24882_WMO_87593_,13.9734,21,7.3276,3,,,1998 to present,yes,,"Despite the inadequate data span, this was still the best option",Empty time series??
LWTG,60.1541,358.8597,_9_WMO_03005_,1.9862,82,2.8716,8,,,2005 to present,yes,,,
LYN1,53.4163,355.7108,_1145_WMO_03302_,46.0805,10,24.5078,8,,,2000 to 2006,yes,,,
MAC1,-54.4995,158.9358,_18003_WMO_94998_,13.9552,8,2.0559,5,,,1997 to present,yes,,,
MACH,52.5889,356.1482,_1209_WMO_03503_,22.2035,63,28.0235,8,yes,mach macy,2006 to 2008,yes,,,
MACY,52.5889,356.1482,_1209_WMO_03503_,22.1962,63,28.0233,8,yes,mach macy,2009 to present,yes,,,
MAID,51.2727,0.5129,_16588_WMO_03784_,45.0492,3,25.4239,8,,,2007 to present,yes,,,
MALD,4.1887,73.5263,_21042_WMO_43555_,5.4793,2,0.9778,2,,,1999 to 2006,yes,,,
MALG,57.0061,354.1716,_19172_WMO_03037_,13.0477,18,27.9952,8,yes,malg malx,2000 to 2008,yes,,,
MALI,-2.9959,40.1944,_18328_WMO_63799_,7.1405,23,28.4057,1,,,1997 to 2008,yes,inadequate data span (1999-2004),"This is the longest time series we can get, will keep it because at least it is ongoing.",
MALI,-2.9959,40.1944,_21657_WMO_63772_,7.1405,6,107.843,1,,,,,,,
MALX,57.0061,354.1716,_19172_WMO_03037_,13.3361,18,27.9953,8,yes,malg malx,2009 to present,yes,,,
MANA,12.1489,273.751,_19992_WMO_78745_,66.4435,5,58.7833,4,,,,,,,
MANC,53.5116,357.765,_1135_WMO_03334_,78.2665,69,17.5803,8,,,2004 to 2008,,inadequate data span,,
MANC,53.5116,357.765,_55511_WMO_03348_,78.2665,88,19.9807,8,yes,manc manh,2004 to 2008,yes,,,
,,,,,,,,,,,,,,
MANH,53.5116,357.765,_55511_WMO_03348_,78.3109,88,19.9808,8,yes,manc manh,2009 to present,yes,,,
MARG,51.3917,1.3829,_775_WMO_03797_,13.632,49,6.0024,8,yes,marg mart,2004 to 2008,yes,,,
MART,51.3917,1.3829,_775_WMO_03797_,13.7192,49,6.0024,8,yes,marg mart,2009 to present,yes,,,
MAS1,27.7637,344.3667,_18192_WMO_60030_,155.3414,47,31.0178,1,,,1997 to present,yes,,,
MAT1,40.6491,16.7045,_20081_WMO_16270_,488.906,34,54.2821,6,,,2001 to present,NO,Too far away,,
MAT1,40.6491,16.7045,_16972_WMO_16325_,488.906,12,28.401,6,,,2001 to present,NO,inadequate data span (2002-2013),,
MAT1,40.6491,16.7045,_30023_WMO_16312_,488.906,350,23.2648,6,,,2001 to present,yes,inadequate data span (2002-2013),,
MATE,40.6491,16.7045,_16972_WMO_16325_,490.0296,12,28.4115,6,,,1997 to present,yes,adequate data span but large gap from 1999 to 2002,"This is the longest time series we can get, will keep it because at least it is ongoing.",
MATE,40.6491,16.7045,_30023_WMO_16312_,490.0296,350,23.2665,6,,,1997 to present,NO,inadequate data span (2001 to 2010),,
MATE,40.6491,16.7045,_20081_WMO_16270_,490.0296,34,54.2753,6,,,1997 to present,NO,Too far away,,
MAUI,20.7067,203.743,_18822_WMO_91190_,3045.5506,20,28.2631,5,,,1999 to present,yes,,,
MAW1,-67.6048,62.8707,_17916_WMO_89564_,29.8707,16,0.5536,7,,,1997 to present,yes,,,
MBAR,-0.6015,30.7379,_20340_WMO_63726_,1348.6036,1867,110.7918,1,,,,,,,
MCHA,51.9977,357.0004,_24996_WMO_03522_,236.2956,76,16.3743,8,,,2009 to present,yes,,,
MCHA,51.9977,357.0004,_664_WMO_03521_,236.2927,78,11.4597,8,,,2009 to present,NO,inadequate data span(1997 -2004),,
MCIL,24.2901,153.9787,_17509_WMO_47991_,11.343,9,1.6175,2,,,2003 to present,yes,,,
MCM4,-77.8383,166.6693,_18820_WMO_89664_,151.3531,24,1.2983,7,,,1997 to present,yes,inadequate data span (2000 to 2010),"This is the longest time series we can get, will keep it because at least it is ongoing.",
MCM4,-77.8383,166.6693,_22642_WMO_89866_,151.3531,84,82.9337,7,,,,,,,
MDO1,30.6805,255.985,_17817_WMO_72265_,2026.567,872,224.3578,4,,,,,,,
MDVJ,56.0215,37.2145,_17029_WMO_27612_,241.7402,156,54.9273,6,,,,,,,
MDVO,56.0275,37.2236,_17029_WMO_27612_,239.3977,156,54.8244,6,,,,,,,
MKEA,19.8014,204.5437,_17925_WMO_91285_,3729.5787,11,41.8619,5,,,1997 to present,yes,,,
MOBS,-37.8294,144.9753,_20944_WMO_94868_,35.9894,35,1.5643,5,,,2003 to present,yes,,,
MORO,55.2129,358.3145,_315_WMO_03240_,95.2974,23,23.7853,8,,,2009 to present,yes,,,
MORP,55.2128,358.3145,_315_WMO_03240_,94.5516,23,23.7918,8,,No more Special Stations Cluster,2005 to present,yes,,,
MQZG,-43.7027,172.6547,_19658_WMO_93781_,143.4888,37,26.866,5,,,2000 to present,yes,,,
MRKT,54.2371,353.4965,_1534_WMO_03923_,167.5533,161,0.0582,8,,,2006 to present,yes,,,
MTKA,35.6795,139.5614,_18153_WMO_47662_,71.7036,36,18.5987,2,,,2002 to present,yes,,,
NAIN,56.537,298.3113,_21283_WMO_71902_,42.537,6,1.4919,4,,,2003 to present,yes,,,
NANO,49.2948,235.9135,_22368_WMO_71475_,24.3581,2,54.4573,4,,,,,,,
NAS1,51.4008,356.4487,_19206_WMO_03716_,60.2623,49,7.7762,8,,,2000 to 2006,yes,,,
NCAS,54.9791,358.3834,_17182_DCNN_2122_,76.0082,253,42.7585,6,yes,newc ncas,,NO,No data,,
NCAS,54.9791,358.3834,_18941_ICAO_EGNV_,76.0056,37,47.3549,8,yes,newc ncas,,,"inadequate data span, no overlap at all btwn GPS and Met time series",,
NCAS,54.9791,358.3834,_315_WMO_03240_,76.0056,23,49.1887,8,yes,newc ncas,2009 to present,yes,,,
NEOT,52.186,359.8885,_461_WMO_03560_,75.8046,85,24.4572,8,,,2005 to 2009,yes,,,
NEWA,52.2668,0.4153,_440_WMO_03590_,29.6752,89,40.4009,8,yes,newm newa newr,2005 to 2008,yes,,,
NEWB,51.4039,358.6853,_830_DCNN_5576_,79.2942,66,26.57,6,,,2004 to 2008,NO,No data,,
NEWB,51.4039,358.6853,_613_WMO_03658_,79.3055,57,28.3841,8,,,2004 to 2008,yes,,,
NEWC,54.9791,358.3834,_17182_DCNN_2122_,76.0537,253,42.7585,6,yes,newc ncas,,NO,No data,,
NEWC,54.9791,358.3834,_18941_ICAO_EGNV_,76.0482,37,47.355,8,yes,newc ncas,,NO,"inadequate data span, no overlap at all btwn GPS and Met time series",,
NEWC,54.9791,358.3834,_315_WMO_03240_,76.0482,23,49.1885,8,yes,newc ncas,2000 to 2008,yes,,,
NEWL,50.103,354.4572,_1395_WMO_03808_,11.0419,87,20.0295,8,,,1999 to present,yes,,,
NEWM,52.2668,0.4153,_440_WMO_03590_,29.2909,89,40.401,8,yes,newm newa newr,2004 to 2004,yes,,,
NEWR,52.2668,0.4153,_440_WMO_03590_,29.7592,89,40.4016,8,yes,newm newa newr,2008 to present,yes,,,
NFO1,51.3745,1.4446,_775_WMO_03797_,54.9008,49,8.1123,8,,,2000 to 2006,yes,,,
NICO,35.141,33.3964,_17385_WMO_17607_,162.007,161,1.0544,6,,,1997 to present,yes,,,
NKLG,0.3539,9.6721,_18354_WMO_64500_,21.484,15,30.3516,1,,,2000 to present,yes,,,
NLIB,41.7716,268.4251,_25210_WMO_72544_,239.7736,180,95.0607,4,,,,,,,
NNOR,-31.0487,116.1927,_22998_WMO_94622_,263.4656,283,52.7153,5,,,,,,,
NORT,52.2516,359.0875,_461_WMO_03560_,83.7105,85,30.7201,8,,,2000 to 2004,yes,,,
NOT1,36.8758,14.9898,_19574_WMO_16480_,85.2943,46,24.9812,6,,,,yes,adequate data span (1997-2013),,
NOTT,52.9622,358.8025,_556_WMO_03354_,44.7887,117,5.938,8,,,2000 to 2008,yes,,,
NOUM,-22.2699,166.4102,_17934_WMO_91592_,23.3567,72,4.1128,5,,,,yes,adequate data span (1997-2013),,
NPLD,51.421,359.6604,_708_WMO_03772_,26.5565,25,9.9471,8,,Special Stations Cluster,We do not process this station anymore,,,,
NRIL,69.3618,88.3598,_20678_WMO_23074_,62.1822,19,86.0723,2,,,,,,,
NRMD,-22.2283,166.4849,_17934_WMO_91592_,99.883,72,5.609,5,,,,yes,adequate data span (1997-2013),,
NSLG,55.0089,358.5674,_315_WMO_03240_,6.6207,23,47.0731,8,,,,yes,adequate data span (1997-2013),,
NSTG,55.0074,358.5601,_315_WMO_03240_,7.574,23,47.1326,8,,Special Stations Cluster,2005 to 2010,,,,
NVSK,54.8406,83.2354,_21491_WMO_29631_,160.0822,137,59.7787,2,,,,,,,
NWRS,52.3895,353.0697,_56370_WMO_03956_,107.3263,53,30.9133,6,,,2009 to present,yes,,,
NYA1,78.9296,11.8653,_23530_WMO_01004_,47.6123,18,2.0125,6,,,1998 to present,,inadequate data span (1997 - 1997),,
NYA1,78.9296,11.8653,_23530_WMO_01007_,41.8868,18,2.0183,6,,,1998 to present,yes,inadequate data span (1997 - 1997),,
NYAL,78.9296,11.8651,_23530_WMO_01007_,41.8868,18,2.0183,6,,,1997 to present,yes,inadequate data span (1999 - 2013),,
OBAN,56.4513,354.5592,_105_WMO_03047_,19.2334,249,64.4746,8,,,,,,,
OHI2,-63.3211,302.0987,_18804_WMO_88963_,9.2977,24,46.6768,3,,,2002 to present,yes,,,
OHI3,-63.3211,302.0986,_18804_WMO_88963_,9.4293,24,46.6792,3,,,2008 to present,yes,,,
OHIG,-63.3207,302.0997,_18804_WMO_88963_,7.5414,24,46.6359,3,,,,yes,adequate data span (1997-2013),,
OMGH,54.6162,352.7441,_1543_WMO_03904_,159.7498,49,23.0011,8,,,2004 to present,yes,,,
OSHQ,50.9313,358.5495,_858_WMO_03874_,53.5941,9,21.836,8,yes,oshq sham,2000 to 2008,yes,,,
OSN1,37.0776,127.024,_22750_WMO_47119_,25.5113,37,21.4022,2,,,2001 to 2009,yes,,,
OSN1,37.0776,127.024,_30350_WMO_47127_,25.5113,16,16.2366,2,,,2001 to 2009,NO,inadequate data span (2001 to 2010) -- missing ~10months at the beginning,,
OUS2,-45.8695,170.5109,_30802_WMO_93891_,20.9581,2,25.9561,5,,,2002 to present,yes,inadequate data span (2003 to 2010) ,"Despite the inadequate data span, this was still the best option",
OXFR,51.824,358.7115,_605_WMO_03649_,71.8763,82,21.1447,8,,,2005 to present,yes,,,
PADS,50.5411,355.0632,_1405_WMO_03817_,12.3926,103,12.2356,8,yes,pads padt,2006 to 2008,NO,inadequate data span for padt (no overlapping data),,
PADS,50.5411,355.0632,_1415_WMO_03823_,12.3926,200,19.6805,8,yes,pads padt,2006 to 2008,yes,,,
PADT,50.5411,355.0632,_1405_WMO_03817_,12.0604,103,12.2356,8,yes,pads padt,2009 to present,NO,inadequate data span for padt (no overlapping data),,
PADT,50.5411,355.0632,_1415_WMO_03823_,12.0604,200,19.6805,8,yes,pads padt,2009 to present,yes,,,
PALM,-64.7751,295.9489,_19140_WMO_89061_,15.3204,8,1.7606,7,,,2008 to present,yes,,,
PARC,-53.137,289.1201,_17908_WMO_85934_,13.5477,43,15.3783,3,,,1999 to present,yes,"inadequate data span, data gap (2005 to 2007)","This is the longest time series we can get, will keep it because at least it is ongoing.",
PARC,-53.137,289.1201,_18801_WMO_87925_,13.5477,19,201.0258,3,,,,,,,
PBIL,50.5218,357.5425,_1319_WMO_03857_,58.4353,52,0.2259,8,yes,port pbil,2009 to present,yes,,,
PDEL,37.7477,334.3372,_19054_WMO_08512_,54.6528,72,3.6667,6,,,2000 to present,yes,,,
PERS,52.1484,357.9585,_657_WMO_03529_,31.376,35,0.1219,8,,,2001 to present,yes,,,
PERT,-31.802,115.8853,_21238_WMO_94608_,45.2262,25,12.923,5,,,1997 to present,yes,,,
PETE,52.5838,359.7368,_583_WMO_03462_,25.9339,73,13.6268,8,,,2004 to present,yes,,,
PETP,53.0667,158.6071,_22456_WMO_32583_,187.7658,24,9.7553,2,,,1999 to present,yes,,,
PIE1,34.3015,251.8811,_22683_WMO_72271_,2369.6002,1481,142.718,4,,,,,,,
PIMO,14.6357,121.0777,_22133_WMO_98430_,51.998,45,6.5492,5,,,1999 to present,yes,,,
PLYM,50.4389,355.8914,_1336_WMO_03827_,162.5927,50,9.4427,8,yes,plym pmth,2000 to 2003,yes,,,
PMTG,50.8023,358.8888,_858_WMO_03874_,10.4178,9,6.9347,8,,,2001 to present,yes,,,
PMTH,50.4165,355.8738,_1336_WMO_03827_,122.9495,50,6.9308,8,yes,plym pmth,2004 to present,yes,,,
POL2,42.6798,74.6943,_17556_WMO_38353_,1754.8794,760,19.333,2,,,1997 to present,yes,inadequate data span (1998 to present),"This is the longest time series we can get, will keep it because at least it is ongoing.",
POL2,42.6798,74.6943,_22521_WMO_36911_,1754.8794,816,51.0614,2,,,,,,,
POLV,49.6026,34.5429,_22491_WMO_33506_,160.0977,160,0.5873,6,,,2001 to present,yes,,,
POOL,50.7759,358.0895,_842_WMO_03862_,20.9942,10,5.3415,8,,,2004 to present,yes,,,
PORK,54.8419,354.8801,_1039_WMO_03132_,11.8169,11,12.0562,8,,,1996 to 2008,yes,,,
PORT,50.5218,357.5425,_1319_WMO_03857_,58.4138,52,0.2257,8,yes,port pbil,2005 to 2008,yes,,,
POTS,52.3793,13.0661,_16895_WMO_10379_,104.0737,100,0.4123,6,,,1997 to present,yes,,,
PRAE,50.2029,356.2797,_1336_WMO_03827_,60.7811,50,33.0555,8,yes,praw prae,2009 to present,yes,,,
PRAW,50.2029,356.2797,_1336_WMO_03827_,60.7028,50,33.0555,8,yes,praw prae,2006 to 2008,yes,,,
PRE1,-25.7463,28.224,_18473_WMO_68368_,1391.7005,1700,43.0574,1,,,2000 to present,NO,"inadequate data span, only overlap is a few days in 2006",,
PRTL,53.0319,352.699,_17093_WMO_03960_,119.338,63,51.9631,6,,,,,,,
QAQ1,60.7153,313.9522,_24486_WMO_04272_,73.2738,32,0.2285,6,,,2002 to present,yes,,,
QIKI,67.5593,295.9663,_30654_WMO_71338_,6.4911,6,1.0402,4,,,2004 to present,yes,,,
QUI2,-0.2152,281.5064,_18598_WMO_80370_,2896.8248,2961,149.6178,3,,,,,,,
RABT,33.9981,353.1457,_19101_WMO_60135_,44.7379,75,9.9126,1,,,2000 to present,yes,,,
RAL1,51.5715,358.6851,_613_WMO_03658_,141.0087,57,15.9965,8,yes,ral1 ral2,2003 to 2005,yes,,,
RAL2,51.5713,358.685,_613_WMO_03658_,142.0288,57,16.0112,8,yes,ral1 ral2,2006 to present,yes,,,
RAMO,30.5976,34.7631,_22176_WMO_40198_,868.9538,445,66.8722,6,,,,,,,
RBAY,-28.7955,32.0784,_25452_WMO_68497_,7.5421,39,40.7016,1,,,2000 to present,yes,note: GPS data is gappy .:. So is the time series.,,
REUN,-21.2082,55.5717,_17694_WMO_61980_,1555.3464,13,36.4317,1,,,,yes,adequate data span (1997-2013),,
RICH,54.4129,358.2636,_17314_WMO_03257_,220.5464,33,18.5443,8,yes,rich ricm,2004 to 2008,yes,,,
RICM,54.4129,358.2636,_17314_WMO_03257_,220.5693,33,18.5443,8,yes,rich ricm,2009 to present,yes,,,
RIOG,-53.7855,292.2489,_18802_WMO_87934_,19.5278,22,1.6191,3,,,,NO,No data,,
SABB,55.8989,357.8714,_268_WMO_03158_,11.4534,112,26.5082,8,,,2009 to present,yes,,,
SAND,50.6503,358.787,_876_WMO_03866_,44.8374,20,10.2085,8,yes,sand sano,2005 to 2008,yes,,,
SANO,50.6503,358.787,_876_WMO_03866_,44.8842,20,10.2085,8,yes,sand sano,2009 to present,yes,,,
SANT,-33.1503,289.3314,_18714_WMO_85574_,695.6076,474,28.0138,3,,,1997 to present,yes,,,
SCAO,54.2525,359.62,_373_WMO_03292_,103.3344,15,22.1919,8,yes,scar scao,2003 to 2008,yes,,,
SCAR,54.2525,359.62,_373_WMO_03292_,103.3063,15,22.1919,8,yes,scar scao,2009 to present,yes,,,
SCH2,54.8321,293.1674,_22126_WMO_71828_,518.4292,518,4.1403,4,,,1997 to present,yes,,,
SCIL,49.9146,353.7042,_1386_WMO_03803_,31.3631,31,0.0872,8,,,2010 to present,yes,,,
SCOR,70.4853,338.0497,_17112_WMO_04339_,72.6602,65,0.6379,6,,,2004 to present,yes,,,
SCUB,20.0121,284.2377,_24132_WMO_78264_,46.2364,55,10.4564,4,,,2000 to present,yes,inadequate data span (2000-03 to 2010-10),"Despite the inadequate data span, this was still the best option",
SEAH,55.583,358.3461,_315_WMO_03240_,12.9362,23,18.3739,8,,,2005 to 2009,yes,,,
SELE,43.1787,77.0169,_17079_WMO_36870_,1385.0166,851,19.1127,2,,,1997 to present,yes,,,
SEY1,-4.6737,55.4794,_1598_WMO_63980_,578.4056,2,4.2383,1,,,1998 to present,yes,,,
SFER,36.4643,353.7944,_24709_WMO_08451_,39.552,27,34.1319,6,,,1997 to present,yes,,,
SHAM,50.9313,358.5495,_858_WMO_03874_,53.6028,9,21.836,8,yes,oshq sham,2009 to present,yes,,,
SHAO,31.0996,121.2004,_17631_WMO_58362_,11.8915,9,42.5736,2,,,1997 to present,yes ,note: GPS data is gappy .:. So is the time series.,,
SHEE,51.4457,0.7434,_498_WMO_03693_,8.172,2,13.4539,8,,,1997 to present,yes,,,
SHOB,52.2429,357.1142,_669_WMO_03520_,101.4281,99,0.0933,8,,,2005 to present,yes,,,
SHOE,51.5548,0.827,_498_WMO_03693_,3.8573,2,0.1331,8,,,2006 to present,yes,,,
SHRE,52.7179,357.2836,_643_WMO_03414_,58.5474,72,9.2277,8,,,2004 to present,yes,,,
SIMO,-34.1879,18.4396,_24987_WMO_68912_,8.5342,8,12.0553,1,,,2002 to 2008,yes,,,
SKEE,53.1419,0.3468,_16725_WMO_03392_,12.9365,3,7.7783,8,yes,skeg sken skee,2009 to present,yes,,,
SKEG,53.1417,0.3382,_16725_WMO_03392_,9.6182,3,7.4055,8,yes,skeg sken skee,2004 to 2005,yes,,,
SKEN,53.1419,0.3468,_16725_WMO_03392_,12.9063,3,7.7782,8,yes,skeg sken skee,2006 to 2008,yes,,,
SLGO,54.2742,351.5368,_24275_WMO_03978_,48.1897,39,29.2423,6,,,2007 to present,yes,,,
SNEO,52.1854,359.8875,_461_WMO_03560_,73.5141,85,24.4008,8,,,2009 to present,yes,,,
SOTN,50.9377,358.5296,_858_WMO_03874_,26.8804,9,23.3744,8,,,056 2010 to present,yes,,,
SSIA,13.6971,270.8834,_22070_WMO_78663_,625.3841,616,0.3275,4,,,2001 to present with gaps,yes,"inadequate data span, sparse data (2003 to present)","This is the longest time series we can get, will keep it because at least it is ongoing.",
SSIA,13.6971,270.8834,_22084_WMO_78655_,625.3841,725,58.1719,4,,,,,,,
STEE,51.9015,359.8215,_471_DCNN_3537_,112.2832,128,16.3053,6,,,,NO,No data,,
STEE,51.9015,359.8215,_461_WMO_03560_,112.2835,85,41.1191,8,yes,stev stee,2009 to present,yes,,,
STEV,51.9015,359.8215,_471_DCNN_3537_,112.2618,128,16.3053,6,,,,NO,No data,,
STEV,51.9015,359.8215,_461_WMO_03560_,112.2593,85,41.1192,8,yes,stev stee,2005 to 2008,yes,,,
STJO,47.5952,307.3223,_17778_WMO_71801_,143.0158,140,4.8031,4,,,1997 to present,yes,,,
STOR,58.2031,353.6246,_54_WMO_03026_,7.5206,15,3.5868,8,,,2007 to present,yes,,,
STR1,-35.3155,149.0101,_22676_WMO_94925_,780.6808,587,13.9393,5,,,1999 to present,yes,,,
STRA,51.5446,0.0095,_19144_WMO_03779_,34.6098,43,8.7428,8,,,2007 to present,yes,"inadequate data span, data ends 2009 365.",,
STRA,51.5446,0.0095,_18911_ICAO_EGKB_,34.6098,183,21.2643,8,,,2007 to present,NO,"inadequate data span, no overlap at all btwn GPS and Met time series",,
STRN,54.8666,355.2876,_1039_WMO_03132_,109.2276,11,14.2329,8,,,2009 to present,yes,,,
STRO,51.7396,357.6986,_676_WMO_03628_,23.5173,59,30.8163,8,,,2006 to present,yes,,,
SUM1,59.8541,358.7251,_9_WMO_03005_,100.591,82,32.1792,8,,,2000 to 2006,yes,,,
SUNB,51.3999,359.5825,_708_WMO_03772_,19.0175,25,9.043,8,,,1997 to 2008,yes,,,
SUTH,-32.3802,20.8105,_20839_WMO_68624_,1763.0055,1264,84.233,1,,,,,,,
SUTM,-32.3814,20.8109,_20839_WMO_68624_,1760.8612,1264,84.2828,1,,,,,,,
SUWN,37.2755,127.0542,_22750_WMO_47119_,59.055,37,6.3826,2,,,1997 to present,yes,,,
SWAN,53.7365,359.495,_370_WMO_03382_,102.2885,7,15.9364,8,,,2004 to present,yes,,,
SWAS,51.5656,356.0182,_1255_WMO_03609_,36.9723,43,0.0961,8,,,2010 to present,yes,,,
SWRD,53.4591,353.781,_17097_WMO_03969_,38.5769,85,3.6652,6,,,2007 to present,yes,,,
SWTG,58.2076,353.6111,_54_WMO_03026_,3.7094,15,4.2347,8,,No more Special Stations Cluster,2005 to 2012,yes,,,
